Gen, Patch, NumGrabbers, NumStingers, MaxSpeed, MaxRotation, GrabberPref
3,1,2,1,45.51161,169.8277,0.5
3,1,1,0,42.00413,125.5609,0.5
3,2,1,0,33.53673,141.3131,0.5
3,2,2,0,45.51161,169.8277,0.5
3,2,2,0,45.51161,169.8277,0.5
3,2,1,0,42.00413,125.5609,0.5
3,2,1,0,41.68079,158.1566,0.5
3,2,1,0,41.68079,158.1566,0.5
3,2,2,0,33.53673,141.3131,0.5
3,2,1,0,42.00413,125.5609,0.5
3,2,1,0,33.53673,141.3131,0.5
3,2,2,0,33.53673,141.3131,0.5
3,2,2,0,33.53673,141.3131,0.5
3,2,2,0,45.51161,169.8277,0.5
3,3,1,0,41.68079,158.1566,0.5
3,3,1,0,42.00413,125.5609,0.5
3,3,1,0,42.00413,125.5609,0.5
3,3,2,0,45.51161,169.8277,0.5
3,3,1,0,33.53673,141.3131,0.5
3,3,1,0,33.53673,141.3131,0.5
3,3,1,0,42.00413,125.5609,0.5
3,3,2,0,45.51161,169.8277,0.5
3,3,2,0,45.51161,169.8277,0.5
3,3,2,0,45.51161,169.8277,0.5
3,3,2,0,45.51161,169.8277,0.5
3,3,2,0,45.51161,169.8277,0.5
3,4,2,0,45.51161,169.8277,0.5
3,4,2,0,33.53673,141.3131,0.5
3,4,1,0,42.00413,125.5609,0.5
3,4,1,0,41.68079,158.1566,0.5
3,4,2,0,45.51161,169.8277,0.5
3,4,2,0,45.51161,169.8277,0.5
3,4,2,0,33.53673,141.3131,0.5
3,4,2,0,45.51161,169.8277,0.5
3,4,2,0,45.51161,169.8277,0.5
3,4,1,0,33.53673,141.3131,0.5
3,4,1,0,41.68079,158.1566,0.5
3,4,1,0,33.53673,141.3131,0.5
3,5,2,0,45.51161,169.8277,0.5
3,5,2,0,45.51161,169.8277,0.5
3,5,2,1,45.51161,169.8277,0.5
3,5,1,0,41.68079,158.1566,0.5
3,5,1,0,41.68079,158.1566,0.5
3,5,2,0,33.53673,141.3131,0.5
3,5,1,0,42.00413,125.5609,0.5
3,5,1,0,41.68079,158.1566,0.5
3,5,2,0,45.51161,169.8277,0.5
3,5,1,0,33.53673,141.3131,0.5
3,5,2,0,45.51161,169.8277,0.5
3,5,2,0,45.51161,169.8277,0.5
3,6,2,0,45.51161,169.8277,0.5
3,6,1,0,42.00413,125.5609,0.5
3,6,1,0,41.68079,158.1566,0.5
3,6,2,0,45.51161,169.8277,0.5
3,6,2,0,45.51161,169.8277,0.5
3,6,2,0,45.51161,169.8277,0.5
3,6,2,0,45.51161,169.8277,0.5
3,6,2,0,45.51161,169.8277,0.5
3,6,2,0,45.51161,169.8277,0.5
3,6,1,0,33.53673,141.3131,0.5
3,6,1,0,41.68079,158.1566,0.5
3,6,2,0,45.51161,169.8277,0.5
3,7,1,0,33.53673,141.3131,0.5
3,7,1,0,33.53673,141.3131,0.5
3,7,2,0,45.51161,169.8277,0.5
3,7,2,0,45.51161,169.8277,0.5
3,7,2,0,45.51161,169.8277,0.5
3,7,2,0,45.51161,169.8277,0.5
3,7,2,0,45.51161,169.8277,0.5
3,7,2,0,45.51161,169.8277,0.5
3,7,2,0,45.51161,169.8277,0.5
3,7,1,0,33.53673,141.3131,0.5
3,7,2,0,45.51161,169.8277,0.5
3,7,1,1,41.68079,158.1566,0.5
3,8,1,0,33.53673,141.3131,0.5
3,8,1,0,33.53673,141.3131,0.5
3,8,1,0,33.53673,141.3131,0.5
3,8,1,1,33.53673,141.3131,0.5
3,8,1,0,42.00413,125.5609,0.5
3,8,1,1,45.51161,169.8277,0.5
3,8,1,0,42.00413,125.5609,0.5
3,8,2,0,45.51161,169.8277,0.5
3,8,1,0,33.53673,141.3131,0.5
3,8,3,0,33.53673,141.3131,0.5
3,8,2,0,45.51161,169.8277,0.5
3,8,2,0,45.51161,169.8277,0.5
